Sample ID,Race ID,Box Number,Row,Column
S00037481,020021_T0,2,7,7
S00037482,020021_T24,2,7,8
S00037048,031004_T0,2,7,9
S00037128,010036_T0,2,8,1
S00037129,010036_T24,2,8,2
S00037130,010036_T48,2,8,3
S00037512,023005_T0,2,8,4
S00037513,023005_T24,2,8,5
S00037514,023005_T48,2,8,6
S00037342,070006_T0,2,8,7
S00037343,070006_T24,2,8,8
S00037344,070006_T48,2,8,9
S00037452,091007_T0,2,9,1
S00037453,091007_T24,2,9,2
S00037454,091007_T48,2,9,3
S00037267,010049_T0,2,9,4
S00037268,010049_T24,2,9,5
S00037269,010049_T48,2,9,6
S00037328,010055_T0,2,9,7
S00037329,010055_T24,2,9,8
S00037330,010055_T48,2,9,9
S00037487,020022_T0,3,1,1
S00037204,080007_T0,3,1,2
S00037296,110019_T0,3,1,3
S00037297,110019_T24,3,1,4
S00037298,110019_T48,3,1,5
S00024632,050002_T0,3,1,6
S00024633,050002_T24,3,1,7
S00024634,050002_T48,3,1,8
S00024648,010006_T0,3,1,9
S00024649,010006_T24,3,2,2
S00024650,010006_T48,3,2,2
S00024667,010009_T0,3,2,2
S00024668,010009_T24,3,2,2
S00024669,010009_T48,3,2,2
S00024673,010010_T0,3,2,2
S00024674,010010_T24,3,2,2
S00024675,010010_T48,3,2,2
S00024693,010013_T0,3,2,2
S00024694,010013_T24,3,3,3
S00024695,010013_T48,3,3,3
S00024699,010015_T0,3,3,3
S00024700,010015_T24,3,3,3
S00024701,010015_T48,3,3,3
S00024723,010018_T0,3,3,3
S00024724,010018_T24,3,3,3
S00024725,010018_T48,3,3,3
S00024741,031003_T0,3,3,3
S00024742,031003_T24,3,4,4
S00024743,031003_T48,3,4,4
